occupation_title	occupation_code	employment_2023	employment_percent_change_23_33	median_annual_wage	education_work_experience
Actuaries	15-2011	30.2	21.8	120000	Bachelor's degree
Computer and information research scientists	15-1221	36.6	25.6	145080	Master's degree
Computer network architects	15-1241	177.8	13.4	129840	Bachelor's degree
Computer network support specialists	15-1231	166.7	7.3	71530	Associate's degree
Computer occupations, all other	15-1299	470.9	10.8	104920	Bachelor's degree
Computer programmers	15-1251	139.4	-9.6	99700	Bachelor's degree
Data scientists	15-2051	202.9	36	108020	Bachelor's degree
Database administrators	15-1242	80.5	8.2	101510	Bachelor's degree
Database architects	15-1243	61.4	10.8	134700	Bachelor's degree
Information security analysts	15-1212	180.7	32.7	120360	Bachelor's degree
Mathematicians	15-2021	2.5	3.7	116440	Master's degree
Network and computer systems administrators	15-1244	335.4	-2.6	95360	Bachelor's degree
Operations research analysts	15-2031	123.3	23	83640	Bachelor's degree
Software developers	15-1252	1692.1	17.9	132270	Bachelor's degree
Software quality assurance analysts and testers	15-1253	205	11.8	101800	Bachelor's degree
Statisticians	15-2041	32.4	11.8	104110	Master's degree
Web and digital interface designers	15-1255	128.6	7.9	98540	Bachelor's degree
Web developers	15-1254	94.1	9	84960	Bachelor's degree
